iter	Passed	Remaining
0	1	117
1	2	99
2	2	90
3	3	81
4	4	81
5	5	81
6	6	88
7	8	93
8	8	90
9	9	87
10	10	85
11	11	83
12	12	81
13	12	79
14	13	77
15	14	76
16	15	74
17	16	73
18	17	72
19	17	71
20	18	69
21	19	68
22	20	67
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	26	61
30	26	60
31	27	59
32	28	58
33	29	56
34	30	55
35	30	54
36	31	53
37	32	53
38	33	53
39	34	52
40	35	51
41	36	50
42	36	48
43	37	47
44	38	46
45	39	46
46	39	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	39
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	85	0
