iter	Passed	Remaining
0	138	138411
1	141	70585
2	143	47652
3	144	36101
4	146	29202
5	148	24591
6	150	21293
7	151	18785
8	153	16911
9	154	15336
10	155	14013
11	156	12907
12	157	11980
13	158	11187
14	159	10484
15	160	9861
16	160	9309
17	161	8818
18	162	8380
19	162	7985
20	163	7622
21	164	7291
22	164	6990
23	165	6714
24	166	6477
25	166	6253
26	167	6034
27	167	5831
28	168	5642
29	169	5465
30	169	5300
31	170	5151
32	170	5007
33	171	4870
34	171	4741
35	172	4619
36	173	4504
37	173	4394
38	174	4291
39	174	4192
40	175	4098
41	175	4010
42	176	3924
43	176	3843
44	177	3764
45	177	3689
46	178	3618
47	179	3552
48	180	3493
49	180	3432
50	181	3371
51	181	3313
52	182	3256
53	182	3202
54	183	3152
55	184	3102
56	184	3053
57	185	3006
58	185	2960
59	186	2915
60	186	2872
61	187	2831
62	187	2791
63	188	2752
64	188	2715
65	189	2678
66	189	2643
67	190	2608
68	190	2575
69	191	2542
70	191	2511
71	192	2480
72	193	2451
73	193	2425
74	194	2397
75	195	2371
76	195	2345
77	196	2320
78	196	2295
79	197	2270
80	197	2246
81	198	2223
82	198	2197
83	199	2174
84	200	2153
85	200	2131
86	201	2110
87	201	2089
88	202	2069
89	202	2049
90	203	2030
91	203	2010
92	204	1992
93	204	1973
94	205	1955
95	205	1938
96	206	1920
97	206	1903
98	207	1890
99	208	1875
100	208	1860
101	209	1844
102	210	1829
103	210	1814
104	211	1799
105	211	1784
106	212	1770
107	212	1757
108	213	1744
109	214	1731
110	214	1718
111	215	1706
112	215	1693
113	216	1681
114	216	1669
115	217	1657
116	217	1645
117	218	1633
118	219	1621
119	219	1609
120	220	1598
121	220	1586
122	221	1575
123	221	1565
124	222	1557
125	223	1547
126	223	1536
127	224	1526
128	225	1520
129	225	1511
130	226	1502
131	227	1492
132	227	1483
133	228	1473
134	228	1464
135	229	1455
136	229	1446
137	230	1438
138	230	1429
139	231	1420
140	231	1412
141	232	1402
142	232	1394
143	233	1386
144	233	1378
145	234	1370
146	234	1362
147	235	1354
148	236	1348
149	237	1343
150	237	1336
151	238	1330
152	239	1323
153	239	1316
154	240	1309
155	240	1302
156	241	1295
157	241	1288
158	242	1281
159	242	1275
160	243	1267
161	243	1261
162	244	1254
163	244	1248
164	245	1241
165	245	1235
166	246	1229
167	247	1223
168	247	1217
169	248	1211
170	248	1205
171	249	1200
172	249	1194
173	250	1190
174	251	1185
175	252	1180
176	252	1174
177	253	1169
178	253	1164
179	254	1158
180	254	1153
181	255	1148
182	255	1142
183	256	1138
184	257	1133
185	257	1127
186	258	1122
187	258	1117
188	259	1113
189	259	1108
190	260	1103
191	260	1098
192	261	1093
193	262	1088
194	262	1084
195	263	1079
196	263	1075
197	264	1071
198	265	1068
199	266	1064
200	266	1059
201	267	1055
202	267	1050
203	268	1046
204	268	1042
205	269	1037
206	269	1033
207	270	1029
208	270	1025
209	271	1021
210	272	1017
211	272	1013
212	273	1009
213	273	1005
214	274	1001
215	274	997
216	275	993
217	275	989
218	276	985
219	276	981
220	277	978
221	278	974
222	279	972
223	279	969
224	280	965
225	280	962
226	281	958
227	282	955
228	282	951
229	283	947
230	283	944
231	284	940
232	284	937
233	285	933
234	285	930
235	286	927
236	286	923
237	287	920
238	287	916
239	288	913
240	289	910
241	289	907
242	290	903
243	290	900
244	291	897
245	291	894
246	292	892
247	293	889
248	294	887
249	294	884
250	295	882
251	296	879
252	296	876
253	297	873
254	297	870
255	298	867
256	299	867
257	300	864
258	301	861
259	301	859
260	302	856
261	303	853
262	303	850
263	304	847
264	304	844
265	305	842
266	305	839
267	306	836
268	306	833
269	307	831
270	308	830
271	309	828
272	309	825
273	310	822
274	311	820
275	312	818
276	312	816
277	313	813
278	313	811
279	314	808
280	314	805
281	315	803
282	315	800
283	316	797
284	317	795
285	317	792
286	318	790
287	318	787
288	319	785
289	319	782
290	320	780
291	320	777
292	321	775
293	322	774
294	322	771
295	323	769
296	323	766
297	324	764
298	325	761
299	325	759
300	326	757
301	326	755
302	327	753
303	328	750
304	328	748
305	329	746
306	329	744
307	330	742
308	330	739
309	331	737
310	332	735
311	332	733
312	333	731
313	333	728
314	334	726
315	334	724
316	335	722
317	336	721
318	337	720
319	338	718
320	338	716
321	339	714
322	339	712
323	340	710
324	340	708
325	341	705
326	342	703
327	342	701
328	343	699
329	343	698
330	344	695
331	344	693
332	345	691
333	345	689
334	346	687
335	346	685
336	347	683
337	348	681
338	348	679
339	349	679
340	350	677
341	351	675
342	351	674
343	352	672
344	353	670
345	353	668
346	354	666
347	354	664
348	355	663
349	356	661
350	356	659
351	357	657
352	357	655
353	358	654
354	358	652
355	359	650
356	360	648
357	360	646
358	361	644
359	361	643
360	362	641
361	362	639
362	363	638
363	364	636
364	365	635
365	365	633
366	366	631
367	366	629
368	367	628
369	367	626
370	368	624
371	368	622
372	369	620
373	369	619
374	370	617
375	370	615
376	371	613
377	371	612
378	372	610
379	372	608
380	373	606
381	374	605
382	374	603
383	375	601
384	375	599
385	376	598
386	376	596
387	377	594
388	377	593
389	378	592
390	379	590
391	379	589
392	380	587
393	381	586
394	381	584
395	382	582
396	382	581
397	383	579
398	383	578
399	384	576
400	384	574
401	385	573
402	385	571
403	386	570
404	386	568
405	387	566
406	387	565
407	388	563
408	388	562
409	389	560
410	389	558
411	390	557
412	391	555
413	391	554
414	392	553
415	393	551
416	393	550
417	394	548
418	394	547
419	395	545
420	395	544
421	396	542
422	396	541
423	397	539
424	398	538
425	398	537
426	399	535
427	399	534
428	400	532
429	400	531
430	401	529
431	401	528
432	402	526
433	402	525
434	403	523
435	403	522
436	404	520
437	404	519
438	405	518
439	406	517
440	406	515
441	407	514
442	407	512
443	408	511
444	408	509
445	409	508
446	410	507
447	410	506
448	411	504
449	411	503
450	412	502
451	412	500
452	413	499
453	413	497
454	414	496
455	415	495
456	415	493
457	416	492
458	416	491
459	417	489
460	417	488
461	418	487
462	418	485
463	419	484
464	420	483
465	420	482
466	421	480
467	421	479
468	422	478
469	423	477
470	423	475
471	424	474
472	424	473
473	425	471
474	425	470
475	426	469
476	426	467
477	427	466
478	427	465
479	428	463
480	428	462
481	429	461
482	429	460
483	430	458
484	431	457
485	431	456
486	432	455
487	432	453
488	433	452
489	433	451
490	434	450
491	435	449
492	435	448
493	436	447
494	436	445
495	437	444
496	437	443
497	438	442
498	438	440
499	439	439
500	439	438
501	440	437
502	441	435
503	441	434
504	442	433
505	442	432
506	443	430
507	443	429
508	444	428
509	444	427
510	445	425
511	445	424
512	446	423
513	446	422
514	447	421
515	447	420
516	448	419
517	449	418
518	450	417
519	451	416
520	451	415
521	452	413
522	452	412
523	453	411
524	453	410
525	454	409
526	454	408
527	455	406
528	455	405
529	456	404
530	456	403
531	457	402
532	457	401
533	458	399
534	458	398
535	459	397
536	459	396
537	460	395
538	460	394
539	461	393
540	462	392
541	462	391
542	463	390
543	464	389
544	464	387
545	465	386
546	465	385
547	466	384
548	467	383
549	467	382
550	468	381
551	468	380
552	469	379
553	470	378
554	470	377
555	471	376
556	471	375
557	472	374
558	472	373
559	473	372
560	474	371
561	474	369
562	475	369
563	476	368
564	477	367
565	477	366
566	478	365
567	478	364
568	479	362
569	479	361
570	480	360
571	480	359
572	481	358
573	482	357
574	482	356
575	483	355
576	483	354
577	484	353
578	484	352
579	485	351
580	485	350
581	486	349
582	486	348
583	487	347
584	487	346
585	488	345
586	489	344
587	491	344
588	492	343
589	492	342
590	493	341
591	494	340
592	494	339
593	495	338
594	495	337
595	496	336
596	497	335
597	497	334
598	498	333
599	499	332
600	499	331
601	500	330
602	500	329
603	501	328
604	501	327
605	502	326
606	504	326
607	505	325
608	505	324
609	506	323
610	506	322
611	507	321
612	507	320
613	508	319
614	509	318
615	509	317
616	510	316
617	510	315
618	511	314
619	511	313
620	512	312
621	513	311
622	513	310
623	514	309
624	514	308
625	515	307
626	515	306
627	516	305
628	516	304
629	519	304
630	520	304
631	520	303
632	521	302
633	522	301
634	522	300
635	523	299
636	523	298
637	524	297
638	524	296
639	525	295
640	525	294
641	526	293
642	526	292
643	527	291
644	527	290
645	528	289
646	528	288
647	529	287
648	529	286
649	530	285
650	530	284
651	531	283
652	532	283
653	533	282
654	533	281
655	534	280
656	534	279
657	535	278
658	535	277
659	536	276
660	537	275
661	537	274
662	538	273
663	538	272
664	539	271
665	539	270
666	540	269
667	540	268
668	541	267
669	541	266
670	542	265
671	542	264
672	543	263
673	543	263
674	544	262
675	544	261
676	546	260
677	546	259
678	547	258
679	548	257
680	548	257
681	549	256
682	549	255
683	550	254
684	551	253
685	551	252
686	552	251
687	553	250
688	553	249
689	554	248
690	554	248
691	555	247
692	555	246
693	556	245
694	556	244
695	557	243
696	557	242
697	558	241
698	558	240
699	560	240
700	560	239
701	561	238
702	561	237
703	562	236
704	563	235
705	563	234
706	564	233
707	564	232
708	565	231
709	565	231
710	566	230
711	566	229
712	567	228
713	567	227
714	568	226
715	568	225
716	569	224
717	569	223
718	570	222
719	570	221
720	571	221
721	571	220
722	572	219
723	572	218
724	573	217
725	574	216
726	575	215
727	575	215
728	576	214
729	576	213
730	577	212
731	577	211
732	578	210
733	578	209
734	579	208
735	579	208
736	580	207
737	581	206
738	581	205
739	582	204
740	582	203
741	583	202
742	583	201
743	584	200
744	584	200
745	585	199
746	585	198
747	586	197
748	586	196
749	587	195
750	588	194
751	589	194
752	589	193
753	590	192
754	591	191
755	591	190
756	592	190
757	592	189
758	593	188
759	593	187
760	594	186
761	595	185
762	595	184
763	596	184
764	596	183
765	597	182
766	597	181
767	598	180
768	598	179
769	599	178
770	599	178
771	600	177
772	600	176
773	601	175
774	601	174
775	602	173
776	603	173
777	603	172
778	604	171
779	605	170
780	605	169
781	606	168
782	606	168
783	607	167
784	607	166
785	608	165
786	608	164
787	609	163
788	609	163
789	610	162
790	610	161
791	611	160
792	611	159
793	612	158
794	612	158
795	613	157
796	614	156
797	614	155
798	615	154
799	615	153
800	616	153
801	617	152
802	617	151
803	618	150
804	619	149
805	619	149
806	620	148
807	620	147
808	621	146
809	621	145
810	622	144
811	622	144
812	623	143
813	623	142
814	624	141
815	624	140
816	625	140
817	625	139
818	626	138
819	626	137
820	627	136
821	627	135
822	628	135
823	628	134
824	629	133
825	630	132
826	630	131
827	631	131
828	632	130
829	632	129
830	633	128
831	633	127
832	634	127
833	634	126
834	635	125
835	635	124
836	636	123
837	636	123
838	637	122
839	637	121
840	638	120
841	638	119
842	639	119
843	640	118
844	640	117
845	641	116
846	641	115
847	642	115
848	642	114
849	643	113
850	643	112
851	644	111
852	644	111
853	645	110
854	646	109
855	646	108
856	647	108
857	648	107
858	648	106
859	649	105
860	649	104
861	650	104
862	650	103
863	651	102
864	651	101
865	652	100
866	652	100
867	653	99
868	653	98
869	654	97
870	654	97
871	655	96
872	655	95
873	656	94
874	656	93
875	657	93
876	658	92
877	658	91
878	659	90
879	660	90
880	660	89
881	661	88
882	661	87
883	662	86
884	662	86
885	663	85
886	664	84
887	664	83
888	665	83
889	666	82
890	666	81
891	667	80
892	667	80
893	668	79
894	668	78
895	669	77
896	669	76
897	670	76
898	670	75
899	671	74
900	671	73
901	672	73
902	673	72
903	674	71
904	674	70
905	675	70
906	675	69
907	676	68
908	676	67
909	677	67
910	678	66
911	678	65
912	679	64
913	680	63
914	680	63
915	681	62
916	682	61
917	682	60
918	683	60
919	683	59
